474000 15 9
477000 16 8
481000 16 8
483000 15 9
484000 14 10
487000 15 9
488000 15 9
489000 14 10
490000 15 9
491000 14 10
492000 15 9
493000 15 9
494000 14 10
495000 20 4
496000 14 10
497000 14 10
498000 12 12
499000 14 10
500000 12 12
501000 12 12
502000 15 9
503000 14 10
504000 14 10
505000 13 11
506000 16 8
507000 13 11
508000 13 11
509000 13 11
510000 15 9
511000 14 10
512000 14 10
513000 12 12
514000 14 10
515000 14 10
516000 14 10
517000 13 11
518000 12 12
519000 14 10
520000 15 9
521000 13 11
522000 15 9
523000 15 9
524000 15 9
525000 15 9
526000 14 10
527000 13 11
528000 13 11
530000 15 9
531000 17 7
532000 18 6
533000 18 6
534000 18 6
535000 19 5
536000 18 6
537000 16 8
538000 19 5
539000 17 7
540000 17 7
541000 17 7
542000 17 7
543000 18 6
544000 17 7
545000 17 7
546000 17 7
547000 18 6
548000 16 8
549000 18 6
550000 17 7
551000 19 5
552000 22 2
553000 20 4
554000 17 7
555000 18 6
556000 18 6
557000 18 6
558000 14 10
559000 13 11
560000 13 11
561000 13 11
562000 13 11
563000 15 9
564000 19 5
565000 17 7
566000 17 7
567000 19 5
568000 15 9
571000 15 9
573000 19 5
577000 14 10
578000 14 10
579000 13 11
580000 15 9
583000 12 12
588000 12 12
590000 13 11
591000 14 10
592000 14 10
593000 12 12
599000 13 11
601000 16 8
602000 12 12
604000 14 10
605000 13 11
608000 12 12
609000 12 12
610000 17 7
611000 13 11
616000 12 12
622000 13 11
625000 13 11
626000 13 11
627000 13 11
628000 15 9
629000 12 12
630000 14 10
631000 13 11
632000 14 10
633000 16 8
634000 16 8
635000 18 6
636000 12 12
637000 12 12
638000 17 7
639000 16 8
640000 12 12
641000 17 7
642000 16 8
643000 14 10
644000 14 10
645000 12 12
646000 16 8
647000 18 6
648000 12 12
649000 14 10
651000 13 11
653000 17 7
654000 19 5
656000 14 10
657000 13 11
658000 18 6
659000 20 4
660000 12 12
661000 12 12
662000 18 6
663000 18 6
664000 16 8
668000 15 9
669000 15 9
674000 15 9
675000 14 10
676000 12 12
678000 16 8
679000 16 8
680000 17 7
681000 15 9
682000 17 7
684000 16 8
693000 20 4
694000 19 5
695000 17 7
696000 17 7
704000 17 7
705000 15 9
706000 17 7
707000 16 8
708000 17 7
709000 17 7
710000 17 7
711000 13 11
712000 14 10
713000 12 12
715000 18 6
716000 14 10
719000 13 11
720000 19 5
722000 16 8
723000 12 12
724000 18 6
726000 20 4
728000 18 6
729000 12 12
730000 18 6
732000 17 7
733000 17 7
734000 17 7
735000 17 7
736000 17 7
737000 17 7
739000 13 11
740000 18 6
741000 17 7
742000 18 6
743000 19 5
744000 16 8
745000 21 3
746000 16 8
747000 17 7
748000 20 4
749000 18 6
751000 13 11
755000 16 8
756000 17 7
759000 16 8
760000 16 8
761000 16 8
762000 16 8
763000 16 8
765000 14 10
766000 17 7
767000 17 7
772000 17 7
776000 16 8
779000 16 8
780000 19 5
